"Station Name","ROUYN-NORANDA A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","48.21"
"Longitude","-78.84"
"Elevation","301.10"
"Climate Identifier","7086719"
"WMO Identifier",""
"TC Identifier","YUY"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp","Temp Flag","Dew Point Temp","Dew Point Temp Flag","Rel Hum","Rel Hum Flag","Wind Dir","Wind Dir Flag","Wind Spd","Wind Spd Flag","Visibility","Visibility Flag","Stn Press","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-19 16:00","2018","06","19","16:00","22.1","","8.7","","42","","26","","6","","24.1","","97.88","","","","","","Mainly Clear"
"2018-06-19 17:00","2018","06","19","17:00","22.5","","6.8","","36","","28","","16","","24.1","","97.82","","","","","","NA"
"2018-06-19 18:00","2018","06","19","18:00","22.5","","9.1","","42","","26","","12","","24.1","","97.75","","","","","","NA"
"2018-06-19 19:00","2018","06","19","19:00","21.2","","8.5","","44","","26","","11","","24.1","","97.70","","","","","","Mainly Clear"
"2018-06-19 20:00","2018","06","19","20:00","18.9","","8.7","","51","","24","","4","","24.1","","97.65","","","","","","NA"
"2018-06-19 21:00","2018","06","19","21:00","15.2","","9.4","","68","","23","","4","","24.1","","97.67","","","","","","NA"
"2018-06-19 22:00","2018","06","19","22:00","14.3","","9.1","","71","","22","","9","","24.1","","97.63","","","","","","Clear"
"2018-06-19 23:00","2018","06","19","23:00","14.6","","9.2","","70","","22","","11","","24.1","","97.59","","","","","","NA"
"2018-06-20 00:00","2018","06","20","00:00","13.4","","9.3","","76","","26","","9","","24.1","","97.56","","","","","","NA"
"2018-06-20 01:00","2018","06","20","01:00","14.0","","9.6","","75","","23","","11","","24.1","","97.49","","","","","","Mainly Clear"
"2018-06-20 02:00","2018","06","20","02:00","14.4","","9.9","","74","","23","","14","","24.1","","97.45","","","","","","NA"
"2018-06-20 03:00","2018","06","20","03:00","13.1","","9.9","","81","","23","","10","","24.1","","97.40","","","","","","NA"
"2018-06-20 04:00","2018","06","20","04:00","13.6","","10.2","","80","","21","","5","","24.1","","97.41","","","","","","Mostly Cloudy"
"2018-06-20 05:00","2018","06","20","05:00","13.2","","10.7","","85","","23","","6","","24.1","","97.44","","","","","","NA"
"2018-06-20 06:00","2018","06","20","06:00","14.7","","11.2","","79","","27","","7","","24.1","","97.45","","","","","","Rain Showers"
"2018-06-20 07:00","2018","06","20","07:00","15.8","","12.5","","80","","2","","16","","24.1","","97.46","","","","","","Mostly Cloudy"
"2018-06-20 08:00","2018","06","20","08:00","14.3","","12.3","","87","","36","","20","","24.1","","97.56","","","","","","NA"
"2018-06-20 09:00","2018","06","20","09:00","14.0","","8.7","","70","","35","","15","","24.1","","97.61","","","","","","NA"
"2018-06-20 10:00","2018","06","20","10:00","13.1","","7.3","","67","","36","","14","","24.1","","97.65","","","","","","Rain Showers"
"2018-06-20 11:00","2018","06","20","11:00","13.5","","7.7","","68","","34","","13","","24.1","","97.73","","","","","","NA"
"2018-06-20 12:00","2018","06","20","12:00","13.6","","5.4","","57","","36","","11","","24.1","","97.70","","","","","","NA"
"2018-06-20 13:00","2018","06","20","13:00","13.7","","4.9","","55","","3","","17","","24.1","","97.70","","","","","","Mostly Cloudy"
"2018-06-20 14:00","2018","06","20","14:00","14.6","","5.6","","54","","35","","17","","24.1","","97.73","","","","","","NA"
"2018-06-20 15:00","2018","06","20","15:00","14.8","","4.1","","49","","33","","21","","24.1","","97.76","","","","","","NA"
"2018-06-20 16:00","2018","06","20","16:00","15.0","","3.5","","46","","32","","19","","24.1","","97.77","","","","","","Mainly Clear"
"2018-06-20 17:00","2018","06","20","17:00","14.9","","2.7","","44","","33","","19","","24.1","","97.78","","","","","","NA"
"2018-06-20 18:00","2018","06","20","18:00","14.0","","2.3","","45","","35","","18","","24.1","","97.82","","","","","","NA"
"2018-06-20 19:00","2018","06","20","19:00","12.8","","1.6","","46","","1","","20","","24.1","","97.83","","","","","","Clear"
"2018-06-20 20:00","2018","06","20","20:00","11.1","","1.6","","52","","1","","15","","24.1","","97.84","","","","","","NA"
"2018-06-20 21:00","2018","06","20","21:00","8.9","","2.0","","62","","2","","12","","24.1","","97.91","","","","","","NA"
"2018-06-20 22:00","2018","06","20","22:00","7.4","","1.5","","66","","2","","10","","24.1","","97.93","","","","","","Clear"
"2018-06-20 23:00","2018","06","20","23:00","6.4","","1.0","","68","","1","","10","","24.1","","98.00","","","","","","NA"
"2018-06-21 00:00","2018","06","21","00:00","5.2","","0.7","","72","","36","","9","","24.1","","98.07","","","","","","NA"
"2018-06-21 01:00","2018","06","21","01:00","4.3","","0.2","","74","","36","","13","","24.1","","98.08","","","","","","Clear"
"2018-06-21 02:00","2018","06","21","02:00","3.4","","0.1","","79","","1","","12","","24.1","","98.06","","","","","","NA"
"2018-06-21 03:00","2018","06","21","03:00","0.0","","-1.4","","90","","36","","1","","24.1","","98.10","","","","0","","NA"
"2018-06-21 04:00","2018","06","21","04:00","-0.4","","-1.5","","93","","33","","4","","24.1","","98.14","","","","-2","","Clear"
"2018-06-21 05:00","2018","06","21","05:00","0.4","","-0.7","","92","","36","","2","","24.1","","98.17","","","","","","NA"
"2018-06-21 06:00","2018","06","21","06:00","4.0","","0.1","","76","","4","","8","","24.1","","98.17","","","","","","NA"
"2018-06-21 07:00","2018","06","21","07:00","6.4","","0.1","","64","","4","","11","","24.1","","98.20","","","","","","Clear"
"2018-06-21 08:00","2018","06","21","08:00","8.8","","-0.2","","53","","7","","4","","24.1","","98.22","","","","","","NA"
"2018-06-21 09:00","2018","06","21","09:00","11.3","","2.0","","52","","2","","10","","24.1","","98.20","","","","","","NA"
"2018-06-21 10:00","2018","06","21","10:00","12.9","","1.2","","45","","4","","16","","24.1","","98.21","","","","","","Clear"
"2018-06-21 11:00","2018","06","21","11:00","14.3","","2.4","","44","","2","","13","","24.1","","98.17","","","","","","NA"
"2018-06-21 12:00","2018","06","21","12:00","15.4","","3.1","","43","","22","","9","","24.1","","98.10","","","","","","NA"
"2018-06-21 13:00","2018","06","21","13:00","15.9","","3.7","","44","","29","","9","","24.1","","98.06","","","","","","Mainly Clear"
"2018-06-21 14:00","2018","06","21","14:00","16.7","","2.4","","38","","6","","6","","24.1","","98.01","","","","","","NA"
"2018-06-21 15:00","2018","06","21","15:00","17.9","","3.1","","37","","22","","10","","24.1","","97.98","","","","","","NA"
"2018-06-21 16:00","2018","06","21","16:00","18.7","","4.9","","40","","25","","10","","24.1","","97.96","","","","","","Clear"
"2018-06-21 17:00","2018","06","21","17:00","18.7","","4.6","","39","","32","","7","","24.1","","97.96","","","","","","NA"
"2018-06-21 18:00","2018","06","21","18:00","18.6","","1.2","","31","","30","","4","","24.1","","97.94","","","","","","NA"
"2018-06-21 19:00","2018","06","21","19:00","17.8","","4.4","","41","","29","","9","","24.1","","97.95","","","","","","Clear"
"2018-06-21 20:00","2018","06","21","20:00","15.2","","4.7","","49","","30","","4","","24.1","","97.94","","","","","","NA"
"2018-06-21 21:00","2018","06","21","21:00","11.0","","5.7","","69","","36","","3","","24.1","","97.98","","","","","","NA"
"2018-06-21 22:00","2018","06","21","22:00","8.8","","5.2","","78","","36","","1","","24.1","","97.97","","","","","","Clear"
"2018-06-21 23:00","2018","06","21","23:00","9.3","","5.1","","75","","36","","3","","24.1","","97.97","","","","","","NA"
"2018-06-22 00:00","2018","06","22","00:00","7.7","","5.0","","83","","36","","2","","24.1","","97.95","","","","","","NA"
"2018-06-22 01:00","2018","06","22","01:00","6.4","","4.5","","87","","36","","1","","24.1","","97.96","","","","","","Clear"
"2018-06-22 02:00","2018","06","22","02:00","5.5","","4.1","","90","","36","","1","","24.1","","97.96","","","","","","NA"
"2018-06-22 03:00","2018","06","22","03:00","5.5","","4.8","","95","","20","","5","","24.1","","97.96","","","","","","NA"
"2018-06-22 04:00","2018","06","22","04:00","6.0","","5.2","","94","","19","","7","","24.1","","97.96","","","","","","Clear"
"2018-06-22 05:00","2018","06","22","05:00","6.9","","5.8","","93","","20","","5","","24.1","","97.96","","","","","","NA"
"2018-06-22 06:00","2018","06","22","06:00","10.1","","6.8","","80","","22","","5","","24.1","","98.02","","","","","","NA"
"2018-06-22 07:00","2018","06","22","07:00","14.1","","6.4","","59","","21","","13","","24.1","","98.00","","","","","","Clear"
